Uniwersytet Warszawski,46125
Uniwersytet Jagielloński,42374
Uniwersytet im. Adama Mickiewicza w Poznaniu,40633
Uniwersytet Łódzki,34428
Politechnika Wrocławska,34428
Politechnika Warszawska,34135
Akademia Górniczo-Hutnicza,33244
