Cristiano Ronaldo,18980000
Lionel Messi,18900000
Gareth Bale,18200000
Hulk,16640000
Paul Pogba,15100000
Graziano Pelle,14200000
Ezequiel Lavezzi,13500000
Wayne Rooney,13500000
Neymar,13400000
Zlatan Ibrahimovi,13000000
